SL.NO,CHAT,REPLY
59,briefly explain about Absorption of companies,Absorption is a process where one company takes over another company / companies resulting in the merger of the companies into a single company.
60,Advance Tax means,Advance tax is the amount of income tax payable by an assessee in specified instalments & on specific dates during an assessment year.
61,describe Advance Tax,Advance tax is the amount of income tax payable by an assessee in specified instalments & on specific dates during an assessment year.
62,what is Advance Tax,Advance tax is the amount of income tax payable by an assessee in specified instalments & on specific dates during an assessment year.
63,what is mean by Advance Tax,Advance tax is the amount of income tax payable by an assessee in specified instalments & on specific dates during an assessment year.
64,briefly explain about Advance Tax,Advance tax is the amount of income tax payable by an assessee in specified instalments & on specific dates during an assessment year.
65,Adverse audit report means,An adverse audit report is a report issued by an auditor in cases where the books of accounts of a company are not maintained as per the accounting principles and standards and the financial statements of the company do not reflect a fair position of its assets & liabilities.
66,briefly explain about Adverse audit report,An adverse audit report is a report issued by an auditor in cases where the books of accounts of a company are not maintained as per the accounting principles and standards and the financial statements of the company do not reflect a fair position of its assets & liabilities.
67,describe Adverse audit report,An adverse audit report is a report issued by an auditor in cases where the books of accounts of a company are not maintained as per the accounting principles and standards and the financial statements of the company do not reflect a fair position of its assets & liabilities.
68,what are the Adverse audit report,An adverse audit report is a report issued by an auditor in cases where the books of accounts of a company are not maintained as per the accounting principles and standards and the financial statements of the company do not reflect a fair position of its assets & liabilities.
69,what is Adverse audit report,An adverse audit report is a report issued by an auditor in cases where the books of accounts of a company are not maintained as per the accounting principles and standards and the financial statements of the company do not reflect a fair position of its assets & liabilities.
70,what is mean by Adverse audit report,An adverse audit report is a report issued by an auditor in cases where the books of accounts of a company are not maintained as per the accounting principles and standards and the financial statements of the company do not reflect a fair position of its assets & liabilities.
71,Administrative Expenses means,"Expenses incurred by an organisation that are not directly related to a certain core function, such manufacturing, production, or sales, are referred to as administrative expenses. These are general costs associated with either the smooth operation of the firm or its supporting functions. For instance, pay, office space, stationery, and printing"
72,briefly explain about Administrative Expenses,"Expenses incurred by an organisation that are not directly related to a certain core function, such manufacturing, production, or sales, are referred to as administrative expenses. These are general costs associated with either the smooth operation of the firm or its supporting functions. For instance, pay, office space, stationery, and printing"
73,what is mean by Administrative Expenses,"Expenses incurred by an organisation that are not directly related to a certain core function, such manufacturing, production, or sales, are referred to as administrative expenses. These are general costs associated with either the smooth operation of the firm or its supporting functions. For instance, pay, office space, stationery, and printing"
74,what is Administrative Expenses,"Expenses incurred by an organisation that are not directly related to a certain core function, such manufacturing, production, or sales, are referred to as administrative expenses. These are general costs associated with either the smooth operation of the firm or its supporting functions. For instance, pay, office space, stationery, and printing"
75,describe Administrative Expenses,"Expenses incurred by an organisation that are not directly related to a certain core function, such manufacturing, production, or sales, are referred to as administrative expenses. These are general costs associated with either the smooth operation of the firm or its supporting functions. For instance, pay, office space, stationery, and printing"
76,what is Amalgamation,An amalgamation is a combination of two or more companies into a new entity. Amalgamation is distinct from a merger because neither company involved survives as a legal entity
77,what is mean by Amalgamation,An amalgamation is a combination of two or more companies into a new entity. Amalgamation is distinct from a merger because neither company involved survives as a legal entity
78,Amalgamation means,An amalgamation is a combination of two or more companies into a new entity. Amalgamation is distinct from a merger because neither company involved survives as a legal entity
79,briefly explain about Amalgamation,An amalgamation is a combination of two or more companies into a new entity. Amalgamation is distinct from a merger because neither company involved survives as a legal entity
80,describe  Amalgamation,An amalgamation is a combination of two or more companies into a new entity. Amalgamation is distinct from a merger because neither company involved survives as a legal entity
81,what is Amortisation,Amortisation means writing down or reducing the value of an asset
82,what is mean by Amortisation,Amortisation means writing down or reducing the value of an asset
83,Amortisation means,Amortisation means writing down or reducing the value of an asset
84,describe  Amortisation,Amortisation means writing down or reducing the value of an asset
85,Average Clause means,"When an asset is under-insured—that is, when the value of the insurance policy taken is less than the actual value of the item insured—the average clause is a condition that is applied when computing an insurance claim."
86,what is Average Clause,"When an asset is under-insured—that is, when the value of the insurance policy taken is less than the actual value of the item insured—the average clause is a condition that is applied when computing an insurance claim."
87,what is mean byAverage Clause,"When an asset is under-insured—that is, when the value of the insurance policy taken is less than the actual value of the item insured—the average clause is a condition that is applied when computing an insurance claim."
88,describe Average Clause,"When an asset is under-insured—that is, when the value of the insurance policy taken is less than the actual value of the item insured—the average clause is a condition that is applied when computing an insurance claim."
89,Audit means,"In an audit, an auditor verifies an entity's books of accounts and submits a report with the objectives of finding errors, verifying that the financial statements accurately reflect the entity's financial situation, and ensuring that the books of accounts are maintained according to with established accounting standards and policies.& an honest assessment of the entity's financial situation."
90,what is Audit,"In an audit, an auditor verifies an entity's books of accounts and submits a report with the objectives of finding errors, verifying that the financial statements accurately reflect the entity's financial situation, and ensuring that the books of accounts are maintained according to with established accounting standards and policies.& an honest assessment of the entity's financial situation."
91,what is mean by Audit,"In an audit, an auditor verifies an entity's books of accounts and submits a report with the objectives of finding errors, verifying that the financial statements accurately reflect the entity's financial situation, and ensuring that the books of accounts are maintained according to with established accounting standards and policies.& an honest assessment of the entity's financial situation."
92, briefly explain about Audit,"In an audit, an auditor verifies an entity's books of accounts and submits a report with the objectives of finding errors, verifying that the financial statements accurately reflect the entity's financial situation, and ensuring that the books of accounts are maintained according to with established accounting standards and policies.& an honest assessment of the entity's financial situation."
93,describe Audit,"In an audit, an auditor verifies an entity's books of accounts and submits a report with the objectives of finding errors, verifying that the financial statements accurately reflect the entity's financial situation, and ensuring that the books of accounts are maintained according to with established accounting standards and policies.& an honest assessment of the entity's financial situation."
94,Audit programme means,An audit programme is a thorough strategy that the auditor creates prior to starting an audit.
95,what is Audit programme,An audit programme is a thorough strategy that the auditor creates prior to starting an audit.
96,briefly explain about Audit programme,An audit programme is a thorough strategy that the auditor creates prior to starting an audit.
97,describe Audit programme,An audit programme is a thorough strategy that the auditor creates prior to starting an audit.
98,Audit working papers means,"The comprehensive audit plan, audit workings, observations, documentation, and conclusions that an auditor records throughout an audit are referred to as audit working papers."
99,what isAudit working papers,"The comprehensive audit plan, audit workings, observations, documentation, and conclusions that an auditor records throughout an audit are referred to as audit working papers."
100,describe Audit working papers,"The comprehensive audit plan, audit workings, observations, documentation, and conclusions that an auditor records throughout an audit are referred to as audit working papers."
101,briefly explain aboutAudit working papers,"The comprehensive audit plan, audit workings, observations, documentation, and conclusions that an auditor records throughout an audit are referred to as audit working papers."
102,what is mean byAudit working papers,"The comprehensive audit plan, audit workings, observations, documentation, and conclusions that an auditor records throughout an audit are referred to as audit working papers."
103,Balance Sheet means,"Balance sheet is a financial statement that reports an entity's assets, liabilities & equity as on a particular date."
104,what is Balance Sheet,"Balance sheet is a financial statement that reports an entity's assets, liabilities & equity as on a particular date."
105,describe Balance Sheet,"Balance sheet is a financial statement that reports an entity's assets, liabilities & equity as on a particular date."
106,what is mean by Balance Sheet,"Balance sheet is a financial statement that reports an entity's assets, liabilities & equity as on a particular date."
107,briefly explain about Balance Sheet,"Balance sheet is a financial statement that reports an entity's assets, liabilities & equity as on a particular date."
108,what is Bank Overdraft,An instance of a bank overdraft occurs when a bank accepts payments in excess of the available balance up to a certain amount. A negative or credit bank balance is the outcome of this.
109,describe Bank Overdraft,An instance of a bank overdraft occurs when a bank accepts payments in excess of the available balance up to a certain amount. A negative or credit bank balance is the outcome of this.
110,Bank Overdraft means,An instance of a bank overdraft occurs when a bank accepts payments in excess of the available balance up to a certain amount. A negative or credit bank balance is the outcome of this.
111,what is mean by Bank Overdraft,An instance of a bank overdraft occurs when a bank accepts payments in excess of the available balance up to a certain amount. A negative or credit bank balance is the outcome of this.
112,briefly explain about Bank Overdraft,An instance of a bank overdraft occurs when a bank accepts payments in excess of the available balance up to a certain amount. A negative or credit bank balance is the outcome of this.
113,Bill of Exchange means,A bill of exchange is a negotiable instrument in which one party agrees to lend the other party a particular sum of money on a particular day.
114,what is Bill of Exchange,A bill of exchange is a negotiable instrument in which one party agrees to lend the other party a particular sum of money on a particular day.
115,briefly explain about Bill of Exchange,A bill of exchange is a negotiable instrument in which one party agrees to lend the other party a particular sum of money on a particular day.
116,what is mean by Bill of Exchange,A bill of exchange is a negotiable instrument in which one party agrees to lend the other party a particular sum of money on a particular day.
117,describe Bill of Exchange,A bill of exchange is a negotiable instrument in which one party agrees to lend the other party a particular sum of money on a particular day.
118,Bill of Lading means,Bill of lading is a legal document indicating the quantity & description of goods being transported through a ship
119,what is Bill of Lading,Bill of lading is a legal document indicating the quantity & description of goods being transported through a ship
120,what is mean by Bill of Lading,Bill of lading is a legal document indicating the quantity & description of goods being transported through a ship
121,describe  Bill of Lading,Bill of lading is a legal document indicating the quantity & description of goods being transported through a ship
122,briefly explain about Bill of Lading,Bill of lading is a legal document indicating the quantity & description of goods being transported through a ship
123,Bonus issue means,Bonus issue is the issue of shares or securities by a company to itsshareholders without any receipt of consideration.
124,what is Bonus issue,Bonus issue is the issue of shares or securities by a company to itsshareholders without any receipt of consideration.
125,what is mean by Bonus issue,Bonus issue is the issue of shares or securities by a company to itsshareholders without any receipt of consideration.
126,briefly explain about Bonus issue,Bonus issue is the issue of shares or securities by a company to itsshareholders without any receipt of consideration.
127,describe Bonus issue,Bonus issue is the issue of shares or securities by a company to itsshareholders without any receipt of consideration.
128,Book Value means,"An asset's book value is its carrying value less the total amount of depreciation that has been applied to the asset's cost. It is an asset's net value as shown on the balance sheet. Another name for it is ""Written Down Value."""
129,describe Book Value,"An asset's book value is its carrying value less the total amount of depreciation that has been applied to the asset's cost. It is an asset's net value as shown on the balance sheet. Another name for it is ""Written Down Value."""
130,what is mean byBook Value,"An asset's book value is its carrying value less the total amount of depreciation that has been applied to the asset's cost. It is an asset's net value as shown on the balance sheet. Another name for it is ""Written Down Value."""
131,briefly explain about Book Value,"An asset's book value is its carrying value less the total amount of depreciation that has been applied to the asset's cost. It is an asset's net value as shown on the balance sheet. Another name for it is ""Written Down Value."""
132,what is Book Value,"An asset's book value is its carrying value less the total amount of depreciation that has been applied to the asset's cost. It is an asset's net value as shown on the balance sheet. Another name for it is ""Written Down Value."""
133,Borrowed funds means,"Borrowed funds indicate the total of amount borrowed by a company through banks, financial institutions, debenture holders, depositors, etc."
134,what is mean by Borrowed funds,"Borrowed funds indicate the total of amount borrowed by a company through banks, financial institutions, debenture holders, depositors, etc."
135,what is Borrowed funds,"Borrowed funds indicate the total of amount borrowed by a company through banks, financial institutions, debenture holders, depositors, etc."
136,briefly explain about Borrowed funds,"Borrowed funds indicate the total of amount borrowed by a company through banks, financial institutions, debenture holders, depositors, etc."
137,describe Borrowed funds,"Borrowed funds indicate the total of amount borrowed by a company through banks, financial institutions, debenture holders, depositors, etc."
138,what is Branch accounting,"Branch accounting is an accounting method in which the accounts of various branches of a company, each located at a different location, are kept separately in order to assess each branch's performance."
139, Branch accounting means,"Branch accounting is an accounting method in which the accounts of various branches of a company, each located at a different location, are kept separately in order to assess each branch's performance."
140,briefly explain about Branch accounting,"Branch accounting is an accounting method in which the accounts of various branches of a company, each located at a different location, are kept separately in order to assess each branch's performance."
141,describe Branch accounting,"Branch accounting is an accounting method in which the accounts of various branches of a company, each located at a different location, are kept separately in order to assess each branch's performance."
142,what is mean by Branch accounting,"Branch accounting is an accounting method in which the accounts of various branches of a company, each located at a different location, are kept separately in order to assess each branch's performance."
143,Break-even point means,"The amount of output at which total sales equal total costs is known as the break-even point (BEP). A business's profit at this point is zero, and its contribution is equal to its fixed costs. A business will experience a profit if its output exceeds BEP, and a loss if it falls short of BEP."
144,what is Break-even point,"The amount of output at which total sales equal total costs is known as the break-even point (BEP). A business's profit at this point is zero, and its contribution is equal to its fixed costs. A business will experience a profit if its output exceeds BEP, and a loss if it falls short of BEP."
145,briefly explain about Break-even point,"The amount of output at which total sales equal total costs is known as the break-even point (BEP). A business's profit at this point is zero, and its contribution is equal to its fixed costs. A business will experience a profit if its output exceeds BEP, and a loss if it falls short of BEP."
146,describe Break-even point,"The amount of output at which total sales equal total costs is known as the break-even point (BEP). A business's profit at this point is zero, and its contribution is equal to its fixed costs. A business will experience a profit if its output exceeds BEP, and a loss if it falls short of BEP."
147,what is mean by Break-even point,"The amount of output at which total sales equal total costs is known as the break-even point (BEP). A business's profit at this point is zero, and its contribution is equal to its fixed costs. A business will experience a profit if its output exceeds BEP, and a loss if it falls short of BEP."
148,Budget means,A budget is an estimation of the incomes or expenses based upon projected level of activity.
149,what is mean by Budget,A budget is an estimation of the incomes or expenses based upon projected level of activity.
150,briefly explain about Budget,A budget is an estimation of the incomes or expenses based upon projected level of activity.
151,describe Budget,A budget is an estimation of the incomes or expenses based upon projected level of activity.
152,what is Budget,A budget is an estimation of the incomes or expenses based upon projected level of activity.
153,Buyback means,Buyback is a process by which a Company buys back (and cancels) its own shares from the shareholders
154,briefly explain about Buyback,Buyback is a process by which a Company buys back (and cancels) its own shares from the shareholders
155,what is mean by Buyback,Buyback is a process by which a Company buys back (and cancels) its own shares from the shareholders
156,what is Buyback,Buyback is a process by which a Company buys back (and cancels) its own shares from the shareholders
157,describe Buyback,Buyback is a process by which a Company buys back (and cancels) its own shares from the shareholders
158,Capital expenditure means,"A capital expenditure is any expense paid by a business that will pay off a long-term debt or result in long-term benefits, such as the addition of a long-term asset. For instance, buying machinery or paying back a bank debt."
159,what is mean by Capital expenditure,"A capital expenditure is any expense paid by a business that will pay off a long-term debt or result in long-term benefits, such as the addition of a long-term asset. For instance, buying machinery or paying back a bank debt."
160,briefly explain about Capital expenditure,"A capital expenditure is any expense paid by a business that will pay off a long-term debt or result in long-term benefits, such as the addition of a long-term asset. For instance, buying machinery or paying back a bank debt."
161,what is Capital expenditure,"A capital expenditure is any expense paid by a business that will pay off a long-term debt or result in long-term benefits, such as the addition of a long-term asset. For instance, buying machinery or paying back a bank debt."
162,describe Capital expenditure,"A capital expenditure is any expense paid by a business that will pay off a long-term debt or result in long-term benefits, such as the addition of a long-term asset. For instance, buying machinery or paying back a bank debt."
163,Capital gains means,"Capital gains is the profit arising on the sale of a capital asset, computed as per the provisions of the Income Tax Act, 1961."
164,briefly explain about Capital gains,"Capital gains is the profit arising on the sale of a capital asset, computed as per the provisions of the Income Tax Act, 1961."
165,describe Capital gains,"Capital gains is the profit arising on the sale of a capital asset, computed as per the provisions of the Income Tax Act, 1961."
166,what is Capital gains,"Capital gains is the profit arising on the sale of a capital asset, computed as per the provisions of the Income Tax Act, 1961."
167,what is mean by Capital gains,"Capital gains is the profit arising on the sale of a capital asset, computed as per the provisions of the Income Tax Act, 1961."
168,Capital profit / loss means,"The profit from the sale of a long-term or capital asset is known as a capital profit. Comparably, the loss incurred from the sale of a long-term or capital asset is known as a capital loss."
169,what is mean by Capital profit / loss,"The profit from the sale of a long-term or capital asset is known as a capital profit. Comparably, the loss incurred from the sale of a long-term or capital asset is known as a capital loss."
170,describe Capital profit / loss,"The profit from the sale of a long-term or capital asset is known as a capital profit. Comparably, the loss incurred from the sale of a long-term or capital asset is known as a capital loss."
171,what is Capital profit / loss,"The profit from the sale of a long-term or capital asset is known as a capital profit. Comparably, the loss incurred from the sale of a long-term or capital asset is known as a capital loss."
172,briefly explain about Capital profit / loss,"The profit from the sale of a long-term or capital asset is known as a capital profit. Comparably, the loss incurred from the sale of a long-term or capital asset is known as a capital loss."
173,Capital receipt means,Capital receipt is the amount received by a business either on the sale or disposal of a long-term asset or which results in an inflow of capital or borrowings for the business. 
174,what is mean by Capital receipt,Capital receipt is the amount received by a business either on the sale or disposal of a long-term asset or which results in an inflow of capital or borrowings for the business. 
175,briefly explain about Capital receipt,Capital receipt is the amount received by a business either on the sale or disposal of a long-term asset or which results in an inflow of capital or borrowings for the business. 
176,describe Capital receipt,Capital receipt is the amount received by a business either on the sale or disposal of a long-term asset or which results in an inflow of capital or borrowings for the business. 
177,what is Capital receipt,Capital receipt is the amount received by a business either on the sale or disposal of a long-term asset or which results in an inflow of capital or borrowings for the business. 
178,example for Capital receipt,"Addition to capital, Loan taken from bank, Sale of Building."
179,Capital receipt example,"Addition to capital, Loan taken from bank, Sale of Building."
180,Capital Redemption Reserve means,Capital redemption reserve is a type of capital reserve created through transfer of divisible profits & can be utilized only for issue of bonus securities.
181,what is mean by Capital Redemption Reserve,Capital redemption reserve is a type of capital reserve created through transfer of divisible profits & can be utilized only for issue of bonus securities.
182,briefly explain about Capital Redemption Reserve,Capital redemption reserve is a type of capital reserve created through transfer of divisible profits & can be utilized only for issue of bonus securities.
183,what is Capital Redemption Reserve,Capital redemption reserve is a type of capital reserve created through transfer of divisible profits & can be utilized only for issue of bonus securities.
184,describe Capital Redemption Reserve,Capital redemption reserve is a type of capital reserve created through transfer of divisible profits & can be utilized only for issue of bonus securities.
185,what is mean by Capital Reserve,"A company's capital reserve, which is displayed under Reserves & Surplus on the balance sheet, represents the company's cumulative capital profits."
186,what is Capital Reserve,"A company's capital reserve, which is displayed under Reserves & Surplus on the balance sheet, represents the company's cumulative capital profits."
187,Capital Reserve means,"A company's capital reserve, which is displayed under Reserves & Surplus on the balance sheet, represents the company's cumulative capital profits."
188,briefly explain about Capital Reserve,"A company's capital reserve, which is displayed under Reserves & Surplus on the balance sheet, represents the company's cumulative capital profits."
189,describe Capital Reserve,"A company's capital reserve, which is displayed under Reserves & Surplus on the balance sheet, represents the company's cumulative capital profits."
190,Capital work in progress means,Capital work in progress indicates cost of fixed assets which a Company has acquired or is in the process of acquiring & which have not been put to use
191,what is Capital work in progress,Capital work in progress indicates cost of fixed assets which a Company has acquired or is in the process of acquiring & which have not been put to use
192,describe Capital work in progress,Capital work in progress indicates cost of fixed assets which a Company has acquired or is in the process of acquiring & which have not been put to use
193,what is mean by Capital work in progress,Capital work in progress indicates cost of fixed assets which a Company has acquired or is in the process of acquiring & which have not been put to use
194,briefly explain about Capital work in progress,Capital work in progress indicates cost of fixed assets which a Company has acquired or is in the process of acquiring & which have not been put to use
195,Cash Credit Account means,"A cash credit account is a type of bank account through which a bank allows payments in excess of the available bank balance, up to a certain specified limit resulting in a negative or credit bank balance."
196,briefly explain about Cash Credit Account,"A cash credit account is a type of bank account through which a bank allows payments in excess of the available bank balance, up to a certain specified limit resulting in a negative or credit bank balance."
197,what is Cash Credit Account,"A cash credit account is a type of bank account through which a bank allows payments in excess of the available bank balance, up to a certain specified limit resulting in a negative or credit bank balance."
198,describe Cash Credit Account,"A cash credit account is a type of bank account through which a bank allows payments in excess of the available bank balance, up to a certain specified limit resulting in a negative or credit bank balance."
199,what is mean by Cash Credit Account,"A cash credit account is a type of bank account through which a bank allows payments in excess of the available bank balance, up to a certain specified limit resulting in a negative or credit bank balance."
200,CashFlow Statement means,"Cash flow statement is a financialstatement which showsthe aggregate cash inflows, cash outflows & changes in cash & cash equivalents"
201,briefly explain about CashFlow Statement,"Cash flow statement is a financialstatement which showsthe aggregate cash inflows, cash outflows & changes in cash & cash equivalents"
202,describe CashFlow Statement,"Cash flow statement is a financialstatement which showsthe aggregate cash inflows, cash outflows & changes in cash & cash equivalents"
203,what is CashFlow Statement,"Cash flow statement is a financialstatement which showsthe aggregate cash inflows, cash outflows & changes in cash & cash equivalents"
204,what is mean by CashFlow Statement,"Cash flow statement is a financialstatement which showsthe aggregate cash inflows, cash outflows & changes in cash & cash equivalents"
205,what are the CashFlow Statement,"It is divided into three sections, namely (a) cash flow from operating activities, (b) cash flow from investing activities & (c) cash flow from financing activities. The format of the cash flow statement is defined as per Accounting Standard 3"
206,types of CashFlow Statement,"It is divided into three sections, namely (a) cash flow from operating activities, (b) cash flow from investing activities & (c) cash flow from financing activities. The format of the cash flow statement is defined as per Accounting Standard 3"
207,Common-Size Statement means,Common size statement is a statement in which each item of a profit & loss statement is expressed as a percentage of a sales & each item in a balance sheet is expressed as a percentage of the balance sheet total or comparative or analytical use.
208,briefly explain about Common-Size Statement,Common size statement is a statement in which each item of a profit & loss statement is expressed as a percentage of a sales & each item in a balance sheet is expressed as a percentage of the balance sheet total or comparative or analytical use.
209,what is Common-Size Statement,Common size statement is a statement in which each item of a profit & loss statement is expressed as a percentage of a sales & each item in a balance sheet is expressed as a percentage of the balance sheet total or comparative or analytical use.
210,describe Common-Size Statement,Common size statement is a statement in which each item of a profit & loss statement is expressed as a percentage of a sales & each item in a balance sheet is expressed as a percentage of the balance sheet total or comparative or analytical use.
